date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:57:06	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:08%20GMT	https://www.tareequljannah.com/resources/assets/images/socials/twitter.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/socials/twitter.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:07	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:08%20GMT	https://www.tareequljannah.com/resources/assets/images/socials/pinterest.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/socials/pinterest.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:07	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:08%20GMT	https://www.tareequljannah.com/resources/assets/images/socials/gplus.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/socials/gplus.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:07	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:09%20GMT	https://www.tareequljannah.com/resources/assets/images/socials/youtube.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/socials/youtube.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:08	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:09%20GMT	https://www.tareequljannah.com/resources/assets/images/socials/linkedin.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/socials/linkedin.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:08	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:09%20GMT	https://www.tareequljannah.com/resources/assets/images/socials/envato.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/socials/envato.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:08	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:09%20GMT	https://www.tareequljannah.com/resources/assets/images/socials/deviant.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/socials/deviant.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:08	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:11%20GMT	https://www.tareequljannah.com/resources/assets/images/social-1/facebook.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-1/facebook.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:09	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:11%20GMT	https://www.tareequljannah.com/resources/assets/images/social-1/twitter.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-1/twitter.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:09	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:11%20GMT	https://www.tareequljannah.com/resources/assets/images/social-1/pinterest.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-1/pinterest.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:10	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:12%20GMT	https://www.tareequljannah.com/resources/assets/images/social-1/gplus.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-1/gplus.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:10	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:12%20GMT	https://www.tareequljannah.com/resources/assets/images/social-1/youtube.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-1/youtube.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
